Date,Open,High,Low,Close,Adj Close,Volume,negative,positive,neutral,compound
2001-10-05,0.275,0.288393,0.267679,0.288214,0.247105,342686400.0,0.162,0.104,0.734,-0.9981
2001-10-08,0.278036,0.291964,0.276786,0.289286,0.248024,207984000.0,0.157,0.086,0.757,-0.9985
2001-10-09,0.286607,0.289286,0.279107,0.285714,0.244961,174025600.0,0.191,0.082,0.727,-0.9989
2001-10-10,0.2875,0.300893,0.284821,0.300357,0.257516,307759200.0,0.182,0.074,0.744,-0.9995
2001-10-11,0.302143,0.316786,0.300893,0.316786,0.271601,334163200.0,0.142,0.063,0.796,-0.9984
2001-10-12,0.309107,0.322857,0.301071,0.321607,0.275735,287812000.0,0.188,0.073,0.739,-0.999
2001-10-15,0.320536,0.328214,0.320536,0.32125,0.275428,318752000.0,0.163,0.088,0.75,-0.9982
2001-10-16,0.323036,0.325,0.317321,0.321607,0.275735,202949600.0,0.175,0.066,0.759,-0.9994
2001-10-17,0.3275,0.32875,0.302857,0.303393,0.260118,285538400.0,0.163,0.06,0.777,-0.9992
2001-10-18,0.30875,0.325536,0.30875,0.321429,0.275582,612572800.0,0.148,0.084,0.768,-0.9973
2001-10-19,0.320357,0.328571,0.319286,0.326786,0.280175,166790400.0,0.168,0.049,0.783,-0.9992
2001-10-22,0.325179,0.340536,0.323036,0.339643,0.291198,391938400.0,0.169,0.082,0.749,-0.9979
2001-10-23,0.341429,0.346786,0.319107,0.323929,0.277725,684980800.0,0.193,0.068,0.739,-0.9995
2001-10-24,0.3225,0.340893,0.316964,0.338393,0.290126,374427200.0,0.194,0.091,0.714,-0.9985
2001-10-25,0.329286,0.34375,0.324286,0.342679,0.293801,254951200.0,0.163,0.067,0.77,-0.9982
2001-10-26,0.336786,0.34375,0.3325,0.333393,0.28584,278964000.0,0.192,0.081,0.728,-0.9994
2001-10-29,0.331607,0.333393,0.314286,0.314821,0.269917,239181600.0,0.178,0.076,0.746,-0.9992
2001-10-30,0.310357,0.321429,0.304643,0.314286,0.269458,276763200.0,0.173,0.054,0.772,-0.9997
2001-10-31,0.316607,0.328571,0.311429,0.313571,0.268845,273750400.0,0.175,0.077,0.748,-0.999
2001-11-01,0.315179,0.335357,0.308036,0.331964,0.284614,312995200.0,0.148,0.086,0.766,-0.9988
2001-11-02,0.330714,0.336786,0.324286,0.331607,0.284308,197204000.0,0.154,0.073,0.773,-0.9987
2001-11-05,0.336429,0.34375,0.332321,0.340536,0.291964,235793600.0,0.164,0.101,0.735,-0.9965
2001-11-06,0.338571,0.350357,0.330893,0.349464,0.299618,316019200.0,0.203,0.058,0.739,-0.9995
2001-11-07,0.3475,0.359464,0.345179,0.349821,0.299924,382989600.0,0.18,0.066,0.754,-0.9994
2001-11-08,0.350536,0.355179,0.331607,0.334107,0.286452,342143200.0,0.15,0.082,0.768,-0.9985
2001-11-09,0.332143,0.34375,0.33125,0.334107,0.286452,134293600.0,0.121,0.101,0.778,-0.9891
2001-11-12,0.333214,0.342321,0.320714,0.334821,0.287064,201499200.0,0.159,0.076,0.765,-0.9987
2001-11-13,0.340714,0.34625,0.334107,0.345893,0.296557,224672000.0,0.122,0.079,0.799,-0.9955
2001-11-14,0.349821,0.355357,0.341964,0.350179,0.300231,221149600.0,0.127,0.118,0.756,-0.9231
2001-11-15,0.347321,0.355357,0.343393,0.347321,0.297781,213029600.0,0.15,0.098,0.752,-0.9888
2001-11-16,0.344107,0.344464,0.328571,0.33875,0.290432,230664000.0,0.139,0.083,0.778,-0.997
2001-11-19,0.339286,0.358036,0.338571,0.357143,0.306202,332589600.0,0.178,0.088,0.734,-0.9984
2001-11-20,0.353929,0.360714,0.348214,0.34875,0.299006,276584000.0,0.156,0.09,0.754,-0.9989
2001-11-21,0.350179,0.353571,0.343929,0.351429,0.301303,201583200.0,0.15,0.094,0.756,-0.9985
2001-11-23,0.351964,0.35625,0.349464,0.354286,0.303752,60004000.0,0.127,0.076,0.797,-0.9958
2001-11-26,0.356071,0.384821,0.355,0.381607,0.327177,460689600.0,0.133,0.088,0.779,-0.9952
2001-11-27,0.378571,0.384286,0.366071,0.375,0.321512,268553600.0,0.175,0.083,0.742,-0.9996
2001-11-28,0.372321,0.37875,0.364464,0.366607,0.314316,250611200.0,0.124,0.08,0.797,-0.9961
2001-11-29,0.367857,0.369643,0.360536,0.364643,0.312632,202764800.0,0.147,0.063,0.79,-0.999
2001-11-30,0.365536,0.382857,0.361607,0.380357,0.326105,303912000.0,0.148,0.075,0.777,-0.9993
2001-12-03,0.376071,0.38,0.367857,0.375893,0.322278,181165600.0,0.183,0.085,0.732,-0.999
2001-12-04,0.375893,0.402857,0.37,0.4,0.342946,380419200.0,0.132,0.095,0.773,-0.9986
2001-12-05,0.399286,0.429107,0.395893,0.424286,0.363768,568579200.0,0.174,0.092,0.733,-0.9985
2001-12-06,0.419286,0.419643,0.395357,0.406786,0.348764,338934400.0,0.136,0.093,0.771,-0.9989
2001-12-07,0.401071,0.405536,0.392857,0.4025,0.345089,203515200.0,0.147,0.066,0.787,-0.9991
2001-12-10,0.398036,0.410536,0.396964,0.4025,0.345089,170010400.0,0.137,0.079,0.784,-0.9981
2001-12-11,0.404821,0.408036,0.386607,0.388929,0.333454,205475200.0,0.169,0.076,0.755,-0.9994
2001-12-12,0.390536,0.391429,0.379464,0.38375,0.329014,192460800.0,0.152,0.072,0.776,-0.9988
2001-12-13,0.38375,0.384821,0.366071,0.375,0.321512,197842400.0,0.187,0.094,0.72,-0.9993
2001-12-14,0.370179,0.371964,0.35875,0.364107,0.312173,189884800.0,0.166,0.087,0.748,-0.9989
2001-12-17,0.364286,0.375,0.360536,0.368214,0.315694,173712000.0,0.153,0.083,0.763,-0.9982
2001-12-18,0.373036,0.380893,0.361071,0.375179,0.321665,235239200.0,0.171,0.075,0.754,-0.9988
2001-12-19,0.3675,0.387143,0.365536,0.386071,0.331004,289956800.0,0.149,0.07,0.781,-0.9989
2001-12-20,0.382143,0.383393,0.368214,0.369107,0.31646,220864000.0,0.176,0.061,0.763,-0.9993
2001-12-21,0.375179,0.384643,0.371429,0.375,0.321512,256334400.0,0.144,0.072,0.784,-0.9988
2001-12-24,0.373214,0.383036,0.373214,0.381429,0.327024,50629600.0,0.182,0.069,0.749,-0.9995
2001-12-26,0.38125,0.398214,0.3775,0.38375,0.329014,146400800.0,0.173,0.092,0.735,-0.9988
2001-12-27,0.385357,0.397321,0.385357,0.394107,0.337894,191508800.0,0.145,0.092,0.764,-0.998
2001-12-28,0.392321,0.410714,0.392143,0.400536,0.343406,299124000.0,0.171,0.077,0.751,-0.9993
2001-12-31,0.401964,0.404643,0.389821,0.391071,0.335291,137782400.0,0.163,0.054,0.783,-0.9982
2002-01-02,0.39375,0.416071,0.392143,0.416071,0.356725,529496800.0,0.128,0.084,0.788,-0.9985
2002-01-03,0.410714,0.424107,0.406607,0.421071,0.361012,612007200.0,0.136,0.093,0.771,-0.9985
2002-01-04,0.416786,0.427679,0.410536,0.423036,0.362696,409976000.0,0.151,0.098,0.751,-0.9988
2002-01-07,0.423571,0.428571,0.40625,0.408929,0.350601,444584000.0,0.15,0.097,0.753,-0.9991
2002-01-08,0.40625,0.411607,0.401071,0.40375,0.346161,450038400.0,0.132,0.089,0.779,-0.9986
2002-01-09,0.407143,0.409464,0.38,0.386607,0.331463,327835200.0,0.143,0.072,0.785,-0.9994
2002-01-10,0.378929,0.383214,0.361607,0.379107,0.325033,452737600.0,0.116,0.108,0.776,-0.9816
2002-01-11,0.381964,0.39,0.367857,0.375893,0.322278,348801600.0,0.161,0.065,0.774,-0.9995
2002-01-14,0.375179,0.382143,0.373214,0.377679,0.323809,415996000.0,0.101,0.106,0.793,-0.0258
2002-01-15,0.380714,0.388571,0.37875,0.3875,0.332229,290320800.0,0.12,0.11,0.77,-0.9892
2002-01-16,0.382321,0.382321,0.366071,0.371071,0.318143,566893600.0,0.137,0.089,0.774,-0.9984
2002-01-17,0.392143,0.406071,0.390536,0.401429,0.344171,660576000.0,0.112,0.095,0.793,-0.9926
2002-01-18,0.392857,0.403571,0.392143,0.395893,0.339425,338811200.0,0.131,0.099,0.77,-0.9972
2002-01-22,0.397679,0.399464,0.389643,0.389643,0.334066,327314400.0,0.136,0.097,0.767,-0.999
2002-01-23,0.389286,0.411429,0.385536,0.411071,0.352438,443279200.0,0.129,0.103,0.768,-0.9923
2002-01-24,0.409107,0.419821,0.408929,0.414464,0.355347,344002400.0,0.133,0.113,0.754,-0.9956
2002-01-25,0.40875,0.418214,0.404643,0.415179,0.35596,185914400.0,0.132,0.115,0.753,-0.985
2002-01-28,0.417857,0.420536,0.405714,0.415536,0.356266,186446400.0,0.14,0.115,0.745,-0.9938
2002-01-29,0.414643,0.420357,0.408036,0.411964,0.353204,240324000.0,0.136,0.125,0.739,-0.9839
2002-01-30,0.411964,0.431071,0.409643,0.430179,0.368821,471576000.0,0.131,0.098,0.771,-0.9973
2002-01-31,0.431429,0.441607,0.430536,0.441429,0.378466,468445600.0,0.127,0.089,0.783,-0.9963
2002-02-01,0.434643,0.445714,0.434643,0.435893,0.373719,398305600.0,0.145,0.097,0.759,-0.997
2002-02-04,0.434286,0.455714,0.432143,0.452679,0.388111,522373600.0,0.107,0.089,0.804,-0.9935
2002-02-05,0.448036,0.463929,0.447857,0.454464,0.389642,456887200.0,0.136,0.079,0.785,-0.9991
2002-02-06,0.457143,0.463929,0.43125,0.440536,0.3777,597576000.0,0.144,0.091,0.764,-0.9988
2002-02-07,0.440179,0.451607,0.43,0.433929,0.372036,347832800.0,0.131,0.109,0.76,-0.9938
2002-02-08,0.435714,0.44,0.417321,0.429107,0.367901,355331200.0,0.141,0.087,0.772,-0.9987
2002-02-11,0.427321,0.446429,0.423929,0.446071,0.382446,398602400.0,0.126,0.124,0.75,-0.7351
2002-02-12,0.440357,0.447143,0.436607,0.44125,0.378312,224280000.0,0.12,0.113,0.766,-0.9509
